"titles_south","word","n","total","tf","idf","tf_idf"
"WHAT WOULD DARWIN DO?","blinman",21,1820,0.0115384615384615,2.77258872223978,0.0319914083335359
"Climate change talk subtle in state","is",20,1549,0.012911555842479,0,0
"Climate-change science proven and certain as dangers to planet grow","in",20,978,0.0204498977505112,0,0
"Fight climate change - for justice and health","energy",20,875,0.0228571428571429,0.374693449441411,0.00856442170151796
"Fight climate change - for justice and health","the",20,875,0.0228571428571429,0,0
"Hot or cold?","climate",20,1298,0.0154083204930663,0,0
"Industrial Evolution","at",20,4393,0.0045526974732529,0,0
"POWER SHIFT","to",20,868,0.0230414746543779,0,0
"Strong tornadoes not linked to climate change, experts say","and",20,969,0.0206398348813209,0,0
"WHAT WOULD DARWIN DO?","change",20,1820,0.010989010989011,0,0
"WHAT WOULD DARWIN DO?","said",20,1820,0.010989010989011,0.693147180559945,0.00761700198417522
"Climate changes affect everyone, time to act","the",19,668,0.0284431137724551,0,0
"Hot or cold?","is",19,1298,0.0146379044684129,0,0
"Is Climate Change Denial Thawing in Texas?","for",19,2881,0.00659493231516834,0,0
"Oklahoma faith community to discuss climate and environment","change",19,1057,0.0179754020813623,0,0
"Climate change talk subtle in state","that",18,1549,0.0116204002582311,0,0
"Hot or cold?","change",18,1298,0.0138674884437596,0,0
"Hot or cold?","that",18,1298,0.0138674884437596,0,0
"Industrial Evolution","about",18,4393,0.00409742772592761,0,0
"Industrial Evolution","last",18,4393,0.00409742772592761,1.38629436111989,0.00568024095154974
"Industrial Evolution","said",18,4393,0.00409742772592761,0.693147180559945,0.00284012047577487
"Is Climate Change Denial Thawing in Texas?","oil",18,2881,0.00624783061437001,0.980829253011726,0.00612805503443633
"Why global climate change solutions shouldn‘t be government-led","and",18,832,0.0216346153846154,0,0
"Climate change talk subtle in state","said",17,1549,0.0109748224661072,0.693147180559945,0.00760716724952813
"Climate change: Just deal with it","and",17,827,0.0205562273276904,0,0
"Climate-change science proven and certain as dangers to planet grow","that",17,978,0.0173824130879346,0,0
"Fight climate change - for justice and health","for",17,875,0.0194285714285714,0,0
"Industrial Evolution","el",17,4393,0.00386979285226497,2.77258872223978,0.010729344019594
"Industrial Evolution","plants",17,4393,0.00386979285226497,0.693147180559945,0.00268233600489849
"Is Climate Change Denial Thawing in Texas?","gas",17,2881,0.00590072891357168,0.470003629245736,0.00277336400457393
"Legislature must act boldly on climate change","we",17,923,0.0184182015167931,0,0
"POWER SHIFT","of",17,868,0.0195852534562212,0,0
"WHAT WOULD DARWIN DO?","that",17,1820,0.00934065934065934,0,0
"Why global climate change solutions shouldn‘t be government-led","a",17,832,0.0204326923076923,0,0
"Why global climate change solutions shouldn‘t be government-led","climate",17,832,0.0204326923076923,0,0
"Climate changes affect everyone, time to act","this",16,668,0.0239520958083832,0.0645385211375712,0.00154583284161847
"Fight climate change - for justice and health","to",16,875,0.0182857142857143,0,0
"High and Dry","texas",16,1628,0.00982800982800983,0,0
"Hot or cold?","it",16,1298,0.012326656394453,0.0645385211375712,0.000795544174268982
"Industrial Evolution","climate",16,4393,0.00364215797860232,0,0
"Industrial Evolution","one",16,4393,0.00364215797860232,0.0645385211375712,0.000235059489688399
"Industrial Evolution","year",16,4393,0.00364215797860232,0.575364144903562,0.00209556711096221
"Is Climate Change Denial Thawing in Texas?","by",16,2881,0.00555362721277334,0,0
"Is Climate Change Denial Thawing in Texas?","republicans",16,2881,0.00555362721277334,2.77258872223978,0.0153979241776593
"Is Climate Change Denial Thawing in Texas?","was",16,2881,0.00555362721277334,0.470003629245736,0.00261022494548135
"POWER SHIFT","texas",16,868,0.0184331797235023,0,0
"Action needed on climate change to protect tourism, agriculture","and",15,703,0.0213371266002845,0,0
"Climate change talk subtle in state","for",15,1549,0.00968366688185926,0,0
"Climate change: Just deal with it","of",15,827,0.0181378476420798,0,0
"Climate changes affect everyone, time to act","climate",15,668,0.0224550898203593,0,0
"High and Dry","he",15,1628,0.00921375921375921,0.693147180559945,0.00638649122137542
"Hot or cold?","a",15,1298,0.0115562403697997,0,0
"Industrial Evolution","been",15,4393,0.00341452310493968,0.287682072451781,0.000982297083263536
"Industrial Evolution","had",15,4393,0.00341452310493968,0.374693449441411,0.00127939944038724
"Is Climate Change Denial Thawing in Texas?","it",15,2881,0.00520652551197501,0.0645385211375712,0.000336021456807903
"Is Climate Change Denial Thawing in Texas?","staples",15,2881,0.00520652551197501,2.77258872223978,0.0144355539165556
"Strong tornadoes not linked to climate change, experts say","in",15,969,0.0154798761609907,0,0
"Strong tornadoes not linked to climate change, experts say","that",15,969,0.0154798761609907,0,0
"Strong tornadoes not linked to climate change, experts say","to",15,969,0.0154798761609907,0,0
"Why global climate change solutions shouldn‘t be government-led","in",15,832,0.0180288461538462,0,0
"Climate changes affect everyone, time to act","is",14,668,0.0209580838323353,0,0
"Climate changes affect everyone, time to act","to",14,668,0.0209580838323353,0,0
"Climate-change science proven and certain as dangers to planet grow","to",14,978,0.0143149284253579,0,0
"Hot or cold?","oklahoma",14,1298,0.0107858243451464,0,0
"Industrial Evolution","an",14,4393,0.00318688823127703,0,0
"Industrial Evolution","be",14,4393,0.00318688823127703,0,0
"Industrial Evolution","drought",14,4393,0.00318688823127703,0.470003629245736,0.00149784903470073
"Industrial Evolution","his",14,4393,0.00318688823127703,0.693147180559945,0.00220898259226935
"Industrial Evolution","percent",14,4393,0.00318688823127703,1.16315080980568,0.00370683162697007
"Is Climate Change Denial Thawing in Texas?","an",14,2881,0.00485942381117668,0,0
"Is Climate Change Denial Thawing in Texas?","but",14,2881,0.00485942381117668,0.133531392624523,0.000648885628859186
"Is Climate Change Denial Thawing in Texas?","carbon",14,2881,0.00485942381117668,0.826678573184468,0.00401718154272216
"Oklahoma faith community to discuss climate and environment","in",14,1057,0.0132450331125828,0,0
"Oklahoma faith community to discuss climate and environment","said",14,1057,0.0132450331125828,0.693147180559945,0.00918075735840987
"WHAT WOULD DARWIN DO?","is",14,1820,0.00769230769230769,0,0
"Why global climate change solutions shouldn‘t be government-led","to",14,832,0.0168269230769231,0,0
"Climate change talk subtle in state","he",13,1549,0.00839251129761136,0.693147180559945,0.0058172455437568
"Climate change: Just deal with it","in",13,827,0.0157194679564692,0,0
"Fight climate change - for justice and health","in",13,875,0.0148571428571429,0,0
"Fight climate change - for justice and health","of",13,875,0.0148571428571429,0,0
"High and Dry","water",13,1628,0.00798525798525799,0.575364144903562,0.0045944311325223
"Hot or cold?","90",13,1298,0.0100154083204931,0.0645385211375712,0.000646379641593548
"Hot or cold?","in",13,1298,0.0100154083204931,0,0
"Industrial Evolution","if",13,4393,0.00295925335761439,0.207639364778245,0.000614457487392939
"Industrial Evolution","its",13,4393,0.00295925335761439,0.207639364778245,0.000614457487392939
"Industrial Evolution","up",13,4393,0.00295925335761439,0.470003629245736,0.00139085981793639
"Industrial Evolution","we",13,4393,0.00295925335761439,0,0
"Industrial Evolution","which",13,4393,0.00295925335761439,0.374693449441411,0.00110881284833561
"Is Climate Change Denial Thawing in Texas?","he",13,2881,0.00451232211037834,0.693147180559945,0.00312770334858705
"Legislature must act boldly on climate change","climate",13,923,0.0140845070422535,0,0
"Why global climate change solutions shouldn‘t be government-led","change",13,832,0.015625,0,0
"Action needed on climate change to protect tourism, agriculture","of",12,703,0.0170697012802276,0,0
"Climate change talk subtle in state","by",12,1549,0.00774693350548741,0,0
"Climate-change science proven and certain as dangers to planet grow","clouds",12,978,0.0122699386503067,2.77258872223978,0.0340194935244145
"Fight climate change - for justice and health","a",12,875,0.0137142857142857,0,0
"High and Dry","mcgraw",12,1628,0.00737100737100737,2.77258872223978,0.0204367719084013
"Hot or cold?","on",12,1298,0.00924499229583975,0,0
"Industrial Evolution","paso",12,4393,0.00273161848395174,2.77258872223978,0.00757365460206633
"Industrial Evolution","power",12,4393,0.00273161848395174,0.693147180559945,0.00189341365051658
"Industrial Evolution","she",12,4393,0.00273161848395174,1.38629436111989,0.00378682730103316
"Industrial Evolution","through",12,4393,0.00273161848395174,0.826678573184468,0.00225817047079754
"Industrial Evolution","use",12,4393,0.00273161848395174,0.826678573184468,0.00225817047079754
"Is Climate Change Denial Thawing in Texas?","about",12,2881,0.00416522040958001,0,0
"Is Climate Change Denial Thawing in Texas?","be",12,2881,0.00416522040958001,0,0
"Is Climate Change Denial Thawing in Texas?","from",12,2881,0.00416522040958001,0.133531392624523,0.000556187681879303
"Is Climate Change Denial Thawing in Texas?","industry",12,2881,0.00416522040958001,0,0
"Is Climate Change Denial Thawing in Texas?","we",12,2881,0.00416522040958001,0,0
"Oklahoma faith community to discuss climate and environment","about",12,1057,0.011352885525071,0,0
"POWER SHIFT","our",12,868,0.0138248847926267,0.133531392624523,0.00184605611923303
"WHAT WOULD DARWIN DO?","for",12,1820,0.00659340659340659,0,0
"WHAT WOULD DARWIN DO?","new",12,1820,0.00659340659340659,0,0
"WHAT WOULD DARWIN DO?","on",12,1820,0.00659340659340659,0,0
"Climate change talk subtle in state","have",11,1549,0.00710135571336346,0,0
"Climate change: Just deal with it","will",11,827,0.0133010882708585,0.0645385211375712,0.000858432566521503
"Climate-change science proven and certain as dangers to planet grow","a",11,978,0.0112474437627812,0,0
"Climate-change science proven and certain as dangers to planet grow","science",11,978,0.0112474437627812,0.374693449441411,0.00421434350087476
"Fight climate change - for justice and health","climate",11,875,0.0125714285714286,0,0
"Fight climate change - for justice and health","new",11,875,0.0125714285714286,0,0
"High and Dry","but",11,1628,0.00675675675675676,0.133531392624523,0.000902239139354882
"High and Dry","by",11,1628,0.00675675675675676,0,0
"High and Dry","for",11,1628,0.00675675675675676,0,0
"High and Dry","like",11,1628,0.00675675675675676,0.0645385211375712,0.000436071088767373
"High and Dry","on",11,1628,0.00675675675675676,0,0
"High and Dry","our",11,1628,0.00675675675675676,0.133531392624523,0.000902239139354882
"Industrial Evolution","over",11,4393,0.0025039836102891,0.287682072451781,0.00072035119439326
"Industrial Evolution","so",11,4393,0.0025039836102891,0.374693449441411,0.000938226256283978
"Industrial Evolution","state",11,4393,0.0025039836102891,0.207639364778245,0.000519925566255563
"Industrial Evolution","were",11,4393,0.0025039836102891,0.575364144903562,0.00144070238878652
"Industrial Evolution","will",11,4393,0.0025039836102891,0.0645385211375712,0.000161603399160775
"Industrial Evolution","you",11,4393,0.0025039836102891,0.470003629245736,0.00117688138440771
"Is Climate Change Denial Thawing in Texas?","emissions",11,2881,0.00381811870878167,0.470003629245736,0.00179452965001843
"Is Climate Change Denial Thawing in Texas?","said",11,2881,0.00381811870878167,0.693147180559945,0.0026465182180352
"Is Climate Change Denial Thawing in Texas?","with",11,2881,0.00381811870878167,0,0
"Is Climate Change Denial Thawing in Texas?","young",11,2881,0.00381811870878167,1.67397643357167,0.00639144073907962
"Legislature must act boldly on climate change","change",11,923,0.0119176598049837,0,0
"Legislature must act boldly on climate change","in",11,923,0.0119176598049837,0,0
"Legislature must act boldly on climate change","our",11,923,0.0119176598049837,0.133531392624523,0.00159138171058478
"POWER SHIFT","energy",11,868,0.0126728110599078,0.374693449441411,0.00474841929015613
"POWER SHIFT","that",11,868,0.0126728110599078,0,0
"Strong tornadoes not linked to climate change, experts say","oklahoma",11,969,0.0113519091847265,0,0
"Strong tornadoes not linked to climate change, experts say","said",11,969,0.0113519091847265,0.693147180559945,0.00786854384536574
"WHAT WOULD DARWIN DO?","are",11,1820,0.00604395604395604,0.0645385211375712,0.000390067984897408
"WHAT WOULD DARWIN DO?","from",11,1820,0.00604395604395604,0.133531392624523,0.000807057867510851
"WHAT WOULD DARWIN DO?","seed",11,1820,0.00604395604395604,2.77258872223978,0.0167574043651855
"WHAT WOULD DARWIN DO?","were",11,1820,0.00604395604395604,0.575364144903562,0.00347747560106548
"Action needed on climate change to protect tourism, agriculture","73",10,703,0.0142247510668563,0.133531392624523,0.00189945081969449
"Action needed on climate change to protect tourism, agriculture","78",10,703,0.0142247510668563,0,0
"Action needed on climate change to protect tourism, agriculture","in",10,703,0.0142247510668563,0,0
"Climate change talk subtle in state","89",10,1549,0.00645577792123951,0.0645385211375712,0.000416646359829381
"Climate change: Just deal with it","climate",10,827,0.0120918984280532,0,0
"Climate change: Just deal with it","is",10,827,0.0120918984280532,0,0
"Climate change: Just deal with it","usa",10,827,0.0120918984280532,0.207639364778245,0.00251075410856402
"Climate changes affect everyone, time to act","78",10,668,0.0149700598802395,0,0
"Climate changes affect everyone, time to act","and",10,668,0.0149700598802395,0,0
"Climate changes affect everyone, time to act","change",10,668,0.0149700598802395,0,0
"Climate changes affect everyone, time to act","of",10,668,0.0149700598802395,0,0
"Climate-change science proven and certain as dangers to planet grow","climate",10,978,0.0102249488752556,0,0
"Climate-change science proven and certain as dangers to planet grow","co2",10,978,0.0102249488752556,1.67397643357167,0.0171163234516531
"Fight climate change - for justice and health","change",10,875,0.0114285714285714,0,0
"High and Dry","drought",10,1628,0.00614250614250614,0.470003629245736,0.00288700017964211
"High and Dry","was",10,1628,0.00614250614250614,0.470003629245736,0.00288700017964211
"Hot or cold?","about",10,1298,0.00770416024653313,0,0
"Industrial Evolution","all",10,4393,0.00227634873662645,0,0
"Industrial Evolution","are",10,4393,0.00227634873662645,0.0645385211375712,0.00014691218105525
"Industrial Evolution","change",10,4393,0.00227634873662645,0,0
"Industrial Evolution","gammon",10,4393,0.00227634873662645,2.77258872223978,0.00631137883505527
"Industrial Evolution","like",10,4393,0.00227634873662645,0.0645385211375712,0.00014691218105525
"Industrial Evolution","new",10,4393,0.00227634873662645,0,0
"Industrial Evolution","nielsen",10,4393,0.00227634873662645,2.77258872223978,0.00631137883505527
"Industrial Evolution","out",10,4393,0.00227634873662645,0.470003629245736,0.00106989216764338
"Industrial Evolution","this",10,4393,0.00227634873662645,0.0645385211375712,0.00014691218105525
"Industrial Evolution","who",10,4393,0.00227634873662645,0.470003629245736,0.00106989216764338
"Is Climate Change Denial Thawing in Texas?","conservative",10,2881,0.00347101700798334,2.07944154167984,0.00721777695827781
"Is Climate Change Denial Thawing in Texas?","have",10,2881,0.00347101700798334,0,0
"Is Climate Change Denial Thawing in Texas?","his",10,2881,0.00347101700798334,0.693147180559945,0.00240592565275927
"Is Climate Change Denial Thawing in Texas?","more",10,2881,0.00347101700798334,0.207639364778245,0.000720719766672144
"Is Climate Change Denial Thawing in Texas?","not",10,2881,0.00347101700798334,0,0
"Is Climate Change Denial Thawing in Texas?","one",10,2881,0.00347101700798334,0.0645385211375712,0.000224014304538602
"Oklahoma faith community to discuss climate and environment","a",10,1057,0.00946073793755913,0,0
"Strong tornadoes not linked to climate change, experts say","on",10,969,0.0103199174406605,0,0
"WHAT WOULD DARWIN DO?","as",10,1820,0.00549450549450549,0,0
"WHAT WOULD DARWIN DO?","greenland",10,1820,0.00549450549450549,2.77258872223978,0.0152340039683504
"WHAT WOULD DARWIN DO?","he",10,1820,0.00549450549450549,0.693147180559945,0.00380850099208761
"Why global climate change solutions shouldn‘t be government-led","global",10,832,0.0120192307692308,0.287682072451781,0.00345771721696852
"Action needed on climate change to protect tourism, agriculture","to",9,703,0.0128022759601707,0,0
"Climate change talk subtle in state","as",9,1549,0.00581020012911556,0,0
"Climate change talk subtle in state","on",9,1549,0.00581020012911556,0,0
"Climate change talk subtle in state","wind",9,1549,0.00581020012911556,0.826678573184468,0.00480316795265346
"Climate change: Just deal with it","change",9,827,0.0108827085852479,0,0
"Climate change: Just deal with it","new",9,827,0.0108827085852479,0,0
"Climate-change science proven and certain as dangers to planet grow","are",9,978,0.00920245398773006,0.0645385211375712,0.000593912771204643
"Climate-change science proven and certain as dangers to planet grow","change",9,978,0.00920245398773006,0,0
"Climate-change science proven and certain as dangers to planet grow","global",9,978,0.00920245398773006,0.287682072451781,0.00264738103483234
"Climate-change science proven and certain as dangers to planet grow","solar",9,978,0.00920245398773006,0.980829253011726,0.00902603607066006
"Fight climate change - for justice and health","health",9,875,0.0102857142857143,1.16315080980568,0.0119638369008584
"High and Dry","dry",9,1628,0.00552825552825553,1.16315080980568,0.00643019489450315
"High and Dry","his",9,1628,0.00552825552825553,0.693147180559945,0.00383189473282525
"Hot or cold?","presidential",9,1298,0.00693374422187982,1.38629436111989,0.00961221051623961
"Hot or cold?","they",9,1298,0.00693374422187982,0.470003629245736,0.00325888494854516
"Hot or cold?","will",9,1298,0.00693374422187982,0.0645385211375712,0.000447493598026302
"Industrial Evolution","also",9,4393,0.00204871386296381,0.470003629245736,0.00096290295087904
"Industrial Evolution","company",9,4393,0.00204871386296381,1.67397643357167,0.00342949872573299
"Industrial Evolution","industrial",9,4393,0.00204871386296381,1.67397643357167,0.00342949872573299
"Industrial Evolution","lake",9,4393,0.00204871386296381,2.07944154167984,0.00426018071366231
"Industrial Evolution","than",9,4393,0.00204871386296381,0.980829253011726,0.00200943848784556
"Industrial Evolution","when",9,4393,0.00204871386296381,0.133531392624523,0.000273567615210722
"Industrial Evolution","years",9,4393,0.00204871386296381,0.287682072451781,0.000589378249958121
"Is Climate Change Denial Thawing in Texas?","89",9,2881,0.00312391530718501,0.0645385211375712,0.000201612874084742
"Is Climate Change Denial Thawing in Texas?","all",9,2881,0.00312391530718501,0,0
"Legislature must act boldly on climate change","78",9,923,0.00975081256771398,0,0
"Legislature must act boldly on climate change","a",9,923,0.00975081256771398,0,0
"POWER SHIFT","we",9,868,0.01036866359447,0,0
"POWER SHIFT","world",9,868,0.01036866359447,0.693147180559945,0.00718700993668146
"Strong tornadoes not linked to climate change, experts say","tornadoes",9,969,0.00928792569659443,2.77258872223978,0.0257515980393788
"WHAT WOULD DARWIN DO?","at",9,1820,0.00494505494505494,0,0
"WHAT WOULD DARWIN DO?","have",9,1820,0.00494505494505494,0,0
"WHAT WOULD DARWIN DO?","it",9,1820,0.00494505494505494,0.0645385211375712,0.000319146533097879
"WHAT WOULD DARWIN DO?","with",9,1820,0.00494505494505494,0,0
"Action needed on climate change to protect tourism, agriculture","a",8,703,0.0113798008534851,0,0
"Climate change talk subtle in state","78",8,1549,0.00516462233699161,0,0
"Climate change talk subtle in state","more",8,1549,0.00516462233699161,0.207639364778245,0.00107237890137247
"Climate change talk subtle in state","renewable",8,1549,0.00516462233699161,2.07944154167984,0.0107395302346279
"Climate change talk subtle in state","texas",8,1549,0.00516462233699161,0,0
"Climate change: Just deal with it","a",8,827,0.00967351874244256,0,0
"Climate change: Just deal with it","it",8,827,0.00967351874244256,0.0645385211375712,0.00062431459383382
"Climate change: Just deal with it","we",8,827,0.00967351874244256,0,0
"Climate changes affect everyone, time to act","arizona",8,668,0.0119760479041916,0,0
"Climate changes affect everyone, time to act","that",8,668,0.0119760479041916,0,0
"Climate-change science proven and certain as dangers to planet grow","earth",8,978,0.0081799591002045,0.693147180559945,0.00566991558740242
"Climate-change science proven and certain as dangers to planet grow","on",8,978,0.0081799591002045,0,0
"Climate-change science proven and certain as dangers to planet grow","they",8,978,0.0081799591002045,0.470003629245736,0.0038446104641778
"Fight climate change - for justice and health","heat",8,875,0.00914285714285714,1.16315080980568,0.0106345216896519
"High and Dry","as",8,1628,0.00491400491400491,0,0
"High and Dry","droughts",8,1628,0.00491400491400491,1.16315080980568,0.00571572879511391
"High and Dry","have",8,1628,0.00491400491400491,0,0
"High and Dry","those",8,1628,0.00491400491400491,0.374693449441411,0.00184124545180054
"Hot or cold?","79",8,1298,0.0061633281972265,0.207639364778245,0.00127974955179195
"Hot or cold?","are",8,1298,0.0061633281972265,0.0645385211375712,0.000397772087134491
"Hot or cold?","compared",8,1298,0.0061633281972265,1.67397643357167,0.0103172661545249
"Hot or cold?","global",8,1298,0.0061633281972265,0.287682072451781,0.00177307902897862
"Hot or cold?","texas",8,1298,0.0061633281972265,0,0
"Hot or cold?","us",8,1298,0.0061633281972265,0.207639364778245,0.00127974955179195
"Hot or cold?","warming",8,1298,0.0061633281972265,0.287682072451781,0.00177307902897862
"Industrial Evolution","going",8,4393,0.00182107898930116,0.693147180559945,0.00126227576701105
"Industrial Evolution","more",8,4393,0.00182107898930116,0.207639364778245,0.000378127684549501
"Industrial Evolution","only",8,4393,0.00182107898930116,0.470003629245736,0.000855913734114702
"Industrial Evolution","or",8,4393,0.00182107898930116,0.207639364778245,0.000378127684549501
"Industrial Evolution","other",8,4393,0.00182107898930116,0.575364144903562,0.00104778355548111
"Industrial Evolution","weather",8,4393,0.00182107898930116,0.374693449441411,0.00068234636820653
"Is Climate Change Denial Thawing in Texas?","backer",8,2881,0.00277681360638667,2.77258872223978,0.00769896208882966
"Is Climate Change Denial Thawing in Texas?","has",8,2881,0.00277681360638667,0.0645385211375712,0.000179211443630881
"Is Climate Change Denial Thawing in Texas?","if",8,2881,0.00277681360638667,0.207639364778245,0.000576575813337715
"Is Climate Change Denial Thawing in Texas?","oklahoma",8,2881,0.00277681360638667,0,0
"Is Climate Change Denial Thawing in Texas?","or",8,2881,0.00277681360638667,0.207639364778245,0.000576575813337715
"Is Climate Change Denial Thawing in Texas?","political",8,2881,0.00277681360638667,0.470003629245736,0.00130511247274068
"Is Climate Change Denial Thawing in Texas?","time",8,2881,0.00277681360638667,0,0
"Legislature must act boldly on climate change","are",8,923,0.00866738894907909,0.0645385211375712,0.000559380464897692
"Legislature must act boldly on climate change","have",8,923,0.00866738894907909,0,0
