"titles_midwest","word","n","total","tf","idf","tf_idf"
"Scientists offer new estimate for how people altered planet","in",19,961,0.0197710718002081,0,0
"Scientists offer new estimate for how people altered planet","to",19,961,0.0197710718002081,0,0
"Climate change: call it what you will, farmers face new challenges.","change",18,1653,0.0108892921960073,0,0
"Climate change: when local is global.","global",18,1506,0.0119521912350598,0.510825623765991,0.00610548554301981
"Grim forecast in Minnesota climate adaptation report","that",18,1451,0.0124052377670572,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","climate",18,912,0.0197368421052632,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","in",18,1115,0.0161434977578475,0,0
"Climate change is real, and it requires us to act","of",17,615,0.0276422764227642,0,0
"Climate change: when local is global.","have",17,1506,0.0112881806108898,0.0689928714869514,0.000778803994208615
"K-State experts outline climate change effects on Kansas","is",17,1400,0.0121428571428571,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","and",17,912,0.018640350877193,0,0
"South Dakota Board of Education passes science standards","and",17,752,0.0226063829787234,0,0
"South Dakota Board of Education passes science standards","education",17,752,0.0226063829787234,2.01490302054226,0.045549669347365
"Analysis says climate rules to slow growth","and",16,836,0.0191387559808612,0,0
"Analysis says climate rules to slow growth","of",16,836,0.0191387559808612,0,0
"Analysis says climate rules to slow growth","to",16,836,0.0191387559808612,0,0
"Climate change is real, and it requires us to act","to",16,615,0.0260162601626016,0,0
"Climate change: when local is global.","that",16,1506,0.0106241699867198,0,0
"Grim forecast in Minnesota climate adaptation report","change",16,1451,0.011026878015162,0,0
"K-State experts outline climate change effects on Kansas","a",16,1400,0.0114285714285714,0,0
"Organic tackles 'existential threat' of climate change","organic",16,798,0.0200501253132832,2.70805020110221,0.0542967458867611
"Scientists offer new estimate for how people altered planet","is",16,961,0.0166493236212279,0,0
"Bipartisan action, leadership on climate change","to",15,875,0.0171428571428571,0,0
"Climate change, logging collide","89",15,1103,0.013599274705349,0,0
"Climate change, logging collide","trees",15,1103,0.013599274705349,1.6094379124341,0.0218871882923948
"Climate change: when local is global.","a",15,1506,0.0099601593625498,0,0
"Climate change: when local is global.","as",15,1506,0.0099601593625498,0.143100843640673,0.00142530720757643
"Grim forecast in Minnesota climate adaptation report","report",15,1451,0.0103376981392143,0.762140052046897,0.00787877379786592
"K-State experts outline climate change effects on Kansas","more",15,1400,0.0107142857142857,0,0
"Organic tackles 'existential threat' of climate change","a",15,798,0.018796992481203,0,0
"Organic tackles 'existential threat' of climate change","of",15,798,0.018796992481203,0,0
"Bipartisan action, leadership on climate change","a",14,875,0.016,0,0
"Climate change is real, and it requires us to act","is",14,615,0.0227642276422764,0,0
"Climate change, logging collide","logging",14,1103,0.0126926563916591,1.6094379124341,0.0204280424062352
"Climate change: call it what you will, farmers face new challenges.","farmers",14,1653,0.00846944948578342,0.916290731874155,0.00776047806789968
"Climate change: when local is global.","at",14,1506,0.00929614873837981,0.0689928714869514,0.000641367995230624
"Climate change: when local is global.","on",14,1506,0.00929614873837981,0,0
"Grim forecast in Minnesota climate adaptation report","minnesota",14,1451,0.00964851826326671,2.70805020110221,0.0261286718231778
"K-State experts outline climate change effects on Kansas","change",14,1400,0.01,0,0
"K-State experts outline climate change effects on Kansas","kansas",14,1400,0.01,2.70805020110221,0.0270805020110221
"K-State experts outline climate change effects on Kansas","that",14,1400,0.01,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","78",14,912,0.0153508771929825,0.0689928714869514,0.00105910109738741
"South Dakota Board of Education passes science standards","standards",14,752,0.0186170212765957,2.01490302054226,0.0375114924037124
"South Dakota Board of Education passes science standards","to",14,752,0.0186170212765957,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","change",14,1115,0.0125560538116592,0,0
"Bipartisan action, leadership on climate change","of",13,875,0.0148571428571429,0,0
"Bipartisan action, leadership on climate change","that",13,875,0.0148571428571429,0,0
"Bipartisan action, leadership on climate change","we",13,875,0.0148571428571429,0.143100843640673,0.00212606967694715
"Climate change is real, and it requires us to act","and",13,615,0.0211382113821138,0,0
"Climate change: when local is global.","by",13,1506,0.00863213811420983,0,0
"Grim forecast in Minnesota climate adaptation report","78",13,1451,0.00895933838731909,0.0689928714869514,0.000618130481964417
"Grim forecast in Minnesota climate adaptation report","for",13,1451,0.00895933838731909,0,0
"Grim forecast in Minnesota climate adaptation report","more",13,1451,0.00895933838731909,0,0
"K-State experts outline climate change effects on Kansas","on",13,1400,0.00928571428571429,0,0
"K-State experts outline climate change effects on Kansas","will",13,1400,0.00928571428571429,0.22314355131421,0.00207204726220338
"On St. Louis visit, US secretary of agriculture talks climate change","agriculture",13,912,0.0142543859649123,0.510825623765991,0.0072815056019275
"On St. Louis visit, US secretary of agriculture talks climate change","that",13,912,0.0142543859649123,0,0
"Report: Climate change could increase migration","in",13,976,0.0133196721311475,0,0
"Scientists offer new estimate for how people altered planet","climate",13,961,0.0135275754422477,0,0
"Scientists offer new estimate for how people altered planet","that",13,961,0.0135275754422477,0,0
"South Dakota Board of Education passes science standards","a",13,752,0.0172872340425532,0,0
"South Dakota Board of Education passes science standards","in",13,752,0.0172872340425532,0,0
"Analysis says climate rules to slow growth","90",12,836,0.0143540669856459,0.0689928714869514,0.000990328298855762
"Climate change could force 200 million to move","is",12,910,0.0131868131868132,0,0
"Climate change is real, and it requires us to act","climate",12,615,0.0195121951219512,0,0
"Climate change is real, and it requires us to act","we",12,615,0.0195121951219512,0.143100843640673,0.00279221158323265
"Climate change, logging collide","forestry",12,1103,0.0108794197642792,0.762140052046897,0.00829164154538782
"Climate change: call it what you will, farmers face new challenges.","for",12,1653,0.00725952813067151,0,0
"Grim forecast in Minnesota climate adaptation report","are",12,1451,0.00827015851137147,0,0
"K-State experts outline climate change effects on Kansas","for",12,1400,0.00857142857142857,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","change",12,912,0.0131578947368421,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","in",12,912,0.0131578947368421,0,0
"Organic tackles 'existential threat' of climate change","is",12,798,0.0150375939849624,0,0
"Report: Climate change could increase migration","is",12,976,0.0122950819672131,0,0
"South Dakota Board of Education passes science standards","science",12,752,0.0159574468085106,0.310154928303839,0.00494928077080595
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","a",12,1115,0.010762331838565,0,0
"Analysis says climate rules to slow growth","a",11,836,0.0131578947368421,0,0
"Analysis says climate rules to slow growth","for",11,836,0.0131578947368421,0,0
"Analysis says climate rules to slow growth","said",11,836,0.0131578947368421,0.143100843640673,0.00188290583737728
"Climate change could force 200 million to move","in",11,910,0.0120879120879121,0,0
"Climate change could force 200 million to move","report",11,910,0.0120879120879121,0.762140052046897,0.00921268194781963
"Climate change is real, and it requires us to act","change",11,615,0.0178861788617886,0,0
"Climate change, logging collide","change",11,1103,0.0099728014505893,0,0
"Climate change, logging collide","timber",11,1103,0.0099728014505893,2.01490302054226,0.0200942277660607
"Climate change: call it what you will, farmers face new challenges.","are",11,1653,0.00665456745311555,0,0
"Climate change: call it what you will, farmers face new challenges.","it's",11,1653,0.00665456745311555,0.916290731874155,0.00609751848192118
"Climate change: call it what you will, farmers face new challenges.","matlock",11,1653,0.00665456745311555,2.70805020110221,0.0180209027296578
"Climate change: when local is global.","energy",11,1506,0.00730411686586985,0.628608659422374,0.0045914311113188
"Grim forecast in Minnesota climate adaptation report","it",11,1451,0.00758097863542385,0.0689928714869514,0.000523033484739122
"Grim forecast in Minnesota climate adaptation report","s",11,1451,0.00758097863542385,2.70805020110221,0.0205296707182111
"K-State experts outline climate change effects on Kansas","weather",11,1400,0.00785714285714286,0.510825623765991,0.0040136299010185
"On St. Louis visit, US secretary of agriculture talks climate change","for",11,912,0.0120614035087719,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","on",11,912,0.0120614035087719,0,0
"Report: Climate change could increase migration","change",11,976,0.0112704918032787,0,0
"Report: Climate change could increase migration","people",11,976,0.0112704918032787,0.762140052046897,0.00858969320954494
"Report: Climate change could increase migration","report",11,976,0.0112704918032787,0.762140052046897,0.00858969320954494
"Scientists offer new estimate for how people altered planet","change",11,961,0.0114464099895942,0,0
"Scientists offer new estimate for how people altered planet","land",11,961,0.0114464099895942,1.09861228866811,0.0125751666757016
"Scientists offer new estimate for how people altered planet","research",11,961,0.0114464099895942,0.628608659422374,0.00719531243875766
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","impacts",11,1115,0.00986547085201794,0.762140052046897,0.00751887046862409
"Bipartisan action, leadership on climate change","our",10,875,0.0114285714285714,0.405465108108164,0.00463388694980759
"Climate change could force 200 million to move","by",10,910,0.010989010989011,0,0
"Climate change could force 200 million to move","change",10,910,0.010989010989011,0,0
"Climate change could force 200 million to move","people",10,910,0.010989010989011,0.762140052046897,0.00837516540710876
"Climate change is real, and it requires us to act","it",10,615,0.016260162601626,0.0689928714869514,0.00112183530873092
"Climate change, logging collide","a",10,1103,0.00906618313689937,0,0
"Climate change, logging collide","climate",10,1103,0.00906618313689937,0,0
"Climate change, logging collide","that",10,1103,0.00906618313689937,0,0
"Climate change: call it what you will, farmers face new challenges.","be",10,1653,0.00604960677555959,0.0689928714869514,0.000417379742812773
"Climate change: call it what you will, farmers face new challenges.","by",10,1653,0.00604960677555959,0,0
"Climate change: call it what you will, farmers face new challenges.","is",10,1653,0.00604960677555959,0,0
"Climate change: call it what you will, farmers face new challenges.","it",10,1653,0.00604960677555959,0.0689928714869514,0.000417379742812773
"Climate change: call it what you will, farmers face new challenges.","says",10,1653,0.00604960677555959,1.09861228866811,0.00664617234523962
"Climate change: when local is global.","are",10,1506,0.00664010624169987,0,0
"Climate change: when local is global.","it",10,1506,0.00664010624169987,0.0689928714869514,0.000458119996593303
"Grim forecast in Minnesota climate adaptation report","is",10,1451,0.00689179875947622,0,0
"Grim forecast in Minnesota climate adaptation report","water",10,1451,0.00689179875947622,0.762140052046897,0.00525251586524395
"On St. Louis visit, US secretary of agriculture talks climate change","us",10,912,0.0109649122807018,0.405465108108164,0.00444588934329128
"Organic tackles 'existential threat' of climate change","agriculture",10,798,0.012531328320802,0.510825623765991,0.00640132360609011
"Report: Climate change could increase migration","by",10,976,0.0102459016393443,0,0
"Report: Climate change could increase migration","migration",10,976,0.0102459016393443,2.01490302054226,0.0206444981612937
"Scientists offer new estimate for how people altered planet","carbon",10,961,0.0104058272632674,0.762140052046897,0.00793069773201766
"South Dakota Board of Education passes science standards","south",10,752,0.0132978723404255,0.628608659422374,0.00835915770508476
"Analysis says climate rules to slow growth","agricultural",9,836,0.0107655502392345,0.762140052046897,0.00820485701964362
"Analysis says climate rules to slow growth","climate",9,836,0.0107655502392345,0,0
"Bipartisan action, leadership on climate change","as",9,875,0.0102857142857143,0.143100843640673,0.00147189439173264
"Bipartisan action, leadership on climate change","for",9,875,0.0102857142857143,0,0
"Bipartisan action, leadership on climate change","in",9,875,0.0102857142857143,0,0
"Climate change could force 200 million to move","a",9,910,0.00989010989010989,0,0
"Climate change could force 200 million to move","million",9,910,0.00989010989010989,1.6094379124341,0.0159175178152823
"Climate change, logging collide","90",9,1103,0.00815956482320943,0.0689928714869514,0.000562951807237138
"Climate change, logging collide","as",9,1103,0.00815956482320943,0.143100843640673,0.00116764060994203
"Climate change: call it what you will, farmers face new challenges.","he",9,1653,0.00544464609800363,0.628608659422374,0.00342255168469532
"Climate change: call it what you will, farmers face new challenges.","other",9,1653,0.00544464609800363,0.310154928303839,0.0016886838201661
"Climate change: call it what you will, farmers face new challenges.","we",9,1653,0.00544464609800363,0.143100843640673,0.000779133449949219
"Climate change: call it what you will, farmers face new challenges.","what",9,1653,0.00544464609800363,0.405465108108164,0.00220761401873774
"Climate change: when local is global.","these",9,1506,0.00597609561752988,0.762140052046897,0.00455462182498145
"Grim forecast in Minnesota climate adaptation report","adaptation",9,1451,0.0062026188835286,1.09861228866811,0.00681427332736939
"Grim forecast in Minnesota climate adaptation report","said",9,1451,0.0062026188835286,0.143100843640673,0.000887599995014514
"K-State experts outline climate change effects on Kansas","as",9,1400,0.00642857142857143,0.143100843640673,0.000919933994832899
"K-State experts outline climate change effects on Kansas","by",9,1400,0.00642857142857143,0,0
"K-State experts outline climate change effects on Kansas","it",9,1400,0.00642857142857143,0.0689928714869514,0.000443525602416116
"On St. Louis visit, US secretary of agriculture talks climate change","louis",9,912,0.00986842105263158,2.01490302054226,0.0198839113869302
"On St. Louis visit, US secretary of agriculture talks climate change","perdue",9,912,0.00986842105263158,2.70805020110221,0.0267241796161402
"Organic tackles 'existential threat' of climate change","89",9,798,0.0112781954887218,0,0
"Organic tackles 'existential threat' of climate change","farmers",9,798,0.0112781954887218,0.916290731874155,0.0103341059985807
"Report: Climate change could increase migration","a",9,976,0.00922131147540984,0,0
"Scientists offer new estimate for how people altered planet","for",9,961,0.00936524453694069,0,0
"South Dakota Board of Education passes science standards","board",9,752,0.011968085106383,1.09861228866811,0.0131482853696981
"South Dakota Board of Education passes science standards","climate",9,752,0.011968085106383,0,0
"South Dakota Board of Education passes science standards","dakota",9,752,0.011968085106383,1.6094379124341,0.0192618899094507
"South Dakota Board of Education passes science standards","state",9,752,0.011968085106383,0.628608659422374,0.00752324193457629
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","by",9,1115,0.00807174887892377,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","forestry",9,1115,0.00807174887892377,0.762140052046897,0.00615180311069244
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","is",9,1115,0.00807174887892377,0,0
"Bipartisan action, leadership on climate change","change",8,875,0.00914285714285714,0,0
"Climate change could force 200 million to move","79",8,910,0.00879120879120879,0.22314355131421,0.00196170155001503
"Climate change could force 200 million to move","asia",8,910,0.00879120879120879,2.01490302054226,0.0177134331476243
"Climate change could force 200 million to move","development",8,910,0.00879120879120879,1.32175583998232,0.0116198315602841
"Climate change could force 200 million to move","emissions",8,910,0.00879120879120879,0.510825623765991,0.00449077471442629
"Climate change could force 200 million to move","with",8,910,0.00879120879120879,0,0
"Climate change is real, and it requires us to act","weather",8,615,0.0130081300813008,0.510825623765991,0.00664488616280964
"Climate change, logging collide","are",8,1103,0.00725294650951949,0,0
"Climate change, logging collide","said",8,1103,0.00725294650951949,0.143100843640673,0.00103790276439292
"Climate change, logging collide","wildfires",8,1103,0.00725294650951949,1.6094379124341,0.0116731670892772
"Climate change: call it what you will, farmers face new challenges.","90",8,1653,0.00483968542044767,0.0689928714869514,0.000333903794250219
"Climate change: call it what you will, farmers face new challenges.","business",8,1653,0.00483968542044767,0.916290731874155,0.00443455889594267
"Climate change: call it what you will, farmers face new challenges.","crops",8,1653,0.00483968542044767,1.09861228866811,0.0053169378761917
"Climate change: call it what you will, farmers face new challenges.","weather",8,1653,0.00483968542044767,0.510825623765991,0.00247223532373135
"Climate change: call it what you will, farmers face new challenges.","will",8,1653,0.00483968542044767,0.22314355131421,0.0010799445919623
"Climate change: when local is global.","emissions",8,1506,0.00531208499335989,0.510825623765991,0.00271354913023103
"Climate change: when local is global.","from",8,1506,0.00531208499335989,0.143100843640673,0.000760163844040761
"Climate change: when local is global.","levels",8,1506,0.00531208499335989,0.762140052046897,0.00404855273331685
"Climate change: when local is global.","people",8,1506,0.00531208499335989,0.762140052046897,0.00404855273331685
"Grim forecast in Minnesota climate adaptation report","state",8,1451,0.00551343900758098,0.628608659422374,0.0034657955033625
"Grim forecast in Minnesota climate adaptation report","will",8,1451,0.00551343900758098,0.22314355131421,0.00123028836010591
"Grim forecast in Minnesota climate adaptation report","with",8,1451,0.00551343900758098,0,0
"K-State experts outline climate change effects on Kansas","90",8,1400,0.00571428571428571,0.0689928714869514,0.000394244979925437
"K-State experts outline climate change effects on Kansas","manhattan",8,1400,0.00571428571428571,2.70805020110221,0.0154745725777269
"K-State experts outline climate change effects on Kansas","not",8,1400,0.00571428571428571,0.143100843640673,0.000817719106518133
"K-State experts outline climate change effects on Kansas","state",8,1400,0.00571428571428571,0.628608659422374,0.00359204948241357
"K-State experts outline climate change effects on Kansas","which",8,1400,0.00571428571428571,0.510825623765991,0.00291900356437709
"K-State experts outline climate change effects on Kansas","with",8,1400,0.00571428571428571,0,0
"On St. Louis visit, US secretary of agriculture talks climate change","90",8,912,0.0087719298245614,0.0689928714869514,0.000605200627078521
"On St. Louis visit, US secretary of agriculture talks climate change","as",8,912,0.0087719298245614,0.143100843640673,0.00125527055825152
"On St. Louis visit, US secretary of agriculture talks climate change","st",8,912,0.0087719298245614,2.01490302054226,0.0176745878994935
"On St. Louis visit, US secretary of agriculture talks climate change","with",8,912,0.0087719298245614,0,0
"Organic tackles 'existential threat' of climate change","78",8,798,0.0100250626566416,0.0689928714869514,0.00069165785951831
"Organic tackles 'existential threat' of climate change","in",8,798,0.0100250626566416,0,0
"Organic tackles 'existential threat' of climate change","report",8,798,0.0100250626566416,0.762140052046897,0.00764050177490623
"Report: Climate change could increase migration","79",8,976,0.00819672131147541,0.22314355131421,0.00182904550257549
"Report: Climate change could increase migration","as",8,976,0.00819672131147541,0.143100843640673,0.00117295773475962
"Report: Climate change could increase migration","asia",8,976,0.00819672131147541,2.01490302054226,0.016515598529035
"Report: Climate change could increase migration","could",8,976,0.00819672131147541,0.510825623765991,0.00418709527677042
"Report: Climate change could increase migration","development",8,976,0.00819672131147541,1.32175583998232,0.0108340642621502
"Report: Climate change could increase migration","emissions",8,976,0.00819672131147541,0.510825623765991,0.00418709527677042
"Report: Climate change could increase migration","with",8,976,0.00819672131147541,0,0
"Scientists offer new estimate for how people altered planet","89",8,961,0.00832466181061394,0,0
"Scientists offer new estimate for how people altered planet","as",8,961,0.00832466181061394,0.143100843640673,0.00119126612812215
"Scientists offer new estimate for how people altered planet","but",8,961,0.00832466181061394,0.0689928714869514,0.00057434232247202
"South Dakota Board of Education passes science standards","aberdeen",8,752,0.0106382978723404,2.70805020110221,0.0288090446925767
"South Dakota Board of Education passes science standards","by",8,752,0.0106382978723404,0,0
"South Dakota Board of Education passes science standards","change",8,752,0.0106382978723404,0,0
"South Dakota Board of Education passes science standards","i",8,752,0.0106382978723404,1.09861228866811,0.011687364773065
"South Dakota Board of Education passes science standards","news",8,752,0.0106382978723404,0,0
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","71",8,1115,0.00717488789237668,0.510825623765991,0.00366511658307437
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","our",8,1115,0.00717488789237668,0.405465108108164,0.00290916669494647
"WANTED: LEADERS WILLING TO FACE CLIMATE CHANGE","that",8,1115,0.00717488789237668,0,0
"Analysis says climate rules to slow growth","73",7,836,0.00837320574162679,0.143100843640673,0.00119821280560372
"Analysis says climate rules to slow growth","in",7,836,0.00837320574162679,0,0
"Analysis says climate rules to slow growth","nebraska",7,836,0.00837320574162679,2.70805020110221,0.0226750614924826
"Analysis says climate rules to slow growth","wildlife",7,836,0.00837320574162679,2.01490302054226,0.0168711975404257
"Bipartisan action, leadership on climate change","has",7,875,0.008,0.0689928714869514,0.000551942971895611
"Bipartisan action, leadership on climate change","indiana",7,875,0.008,2.70805020110221,0.0216644016088177
"Bipartisan action, leadership on climate change","is",7,875,0.008,0,0
"Bipartisan action, leadership on climate change","leadership",7,875,0.008,1.6094379124341,0.0128755032994728
"Bipartisan action, leadership on climate change","us",7,875,0.008,0.405465108108164,0.00324372086486532
"Climate change could force 200 million to move","as",7,910,0.00769230769230769,0.143100843640673,0.00110077572031287
"Climate change could force 200 million to move","could",7,910,0.00769230769230769,0.510825623765991,0.00392942787512301
"Climate change could force 200 million to move","scenario",7,910,0.00769230769230769,1.6094379124341,0.0123802916341085
"Climate change is real, and it requires us to act","2021",7,615,0.0113821138211382,0,0
"Climate change is real, and it requires us to act","in",7,615,0.0113821138211382,0,0
"Climate change, logging collide","78",7,1103,0.00634632819582956,0.0689928714869514,0.000437851405628885
"Climate change, logging collide","black",7,1103,0.00634632819582956,2.70805020110221,0.0171861753469769
"Climate change, logging collide","hills",7,1103,0.00634632819582956,2.70805020110221,0.0171861753469769
"Climate change, logging collide","more",7,1103,0.00634632819582956,0,0
"Climate change, logging collide","usa",7,1103,0.00634632819582956,0.143100843640673,0.000908164918843801
"Climate change: call it what you will, farmers face new challenges.","as",7,1653,0.00423472474289171,0.143100843640673,0.000605992683293837
"Climate change: call it what you will, farmers face new challenges.","but",7,1653,0.00423472474289171,0.0689928714869514,0.000292165819968941
"Climate change: call it what you will, farmers face new challenges.","have",7,1653,0.00423472474289171,0.0689928714869514,0.000292165819968941
"Climate change: call it what you will, farmers face new challenges.","not",7,1653,0.00423472474289171,0.143100843640673,0.000605992683293837
"Climate change: call it what you will, farmers face new challenges.","on",7,1653,0.00423472474289171,0,0
"Climate change: call it what you will, farmers face new challenges.","or",7,1653,0.00423472474289171,0.143100843640673,0.000605992683293837
"Climate change: call it what you will, farmers face new challenges.","rice",7,1653,0.00423472474289171,2.01490302054226,0.00853255967561758
"Climate change: call it what you will, farmers face new challenges.","states",7,1653,0.00423472474289171,0.405465108108164,0.00171703312568491
"Climate change: call it what you will, farmers face new challenges.","united",7,1653,0.00423472474289171,0.510825623765991,0.00216320590826493
"Climate change: when local is global.","communities",7,1506,0.00464807436918991,1.32175583998232,0.0061436194421489
"Climate change: when local is global.","for",7,1506,0.00464807436918991,0,0
"Climate change: when local is global.","programmes",7,1506,0.00464807436918991,2.70805020110221,0.0125872187302228
"Climate change: when local is global.","with",7,1506,0.00464807436918991,0,0
"Grim forecast in Minnesota climate adaptation report","89",7,1451,0.00482425913163336,0,0
"Grim forecast in Minnesota climate adaptation report","as",7,1451,0.00482425913163336,0.143100843640673,0.000690355551677955
"Grim forecast in Minnesota climate adaptation report","icat",7,1451,0.00482425913163336,2.70805020110221,0.0130643359115889
"Grim forecast in Minnesota climate adaptation report","on",7,1451,0.00482425913163336,0,0
